;P234_01_N_Scr_1.CEL;P234_02_N_Inh_3.CEL;P234_03_6F4_Scr_1.CEL;P234_04_6F4_Scr_3.CEL;P234_05_6F4_Inh_2.CEL;P234_06_6F4_Inh_3.CEL
MG-1-neg-10338103_st;3,63155317970831;3,75281063619593;3,77933645670976;4,91405001674799;5,18022601776624;4,25391266100472
MG-1-neg-10338105_st;2,06190055132816;1,51084642428709;1,58849600616194;3,24036737267096;2,05392614048892;1,86759825109457
MG-1-neg-10338107_st;6,32973134281885;6,37748444936596;6,96344551122473;7,58692329595219;7,19163016046098;7,06058146131934
MG-1-neg-10338108_st;3,00002055774717;2,81337750605777;4,71102317028396;5,87989257455929;5,09127992581547;5,63457849134639
MG-1-neg-10338109_st;2,24076475297028;2,48920854369956;3,20621561038857;3,37517658554975;2,28598881898763;1,84758840492545
MG-1-neg-10338110_st;4,12221167986903;3,4159724765941;4,87166423743786;3,17769589465244;4,97533468864008;3,34913456188586
MG-1-neg-10338112_st;3,92169730827278;3,45796912578222;4,06279537012327;3,12026048042846;4,64169692463754;4,89508430685781
MG-1-neg-10338113_st;2,45384598681515;2,26555239470881;3,22069309835315;3,59870242648676;2,13400478624968;3,29660812639563
MG-1-neg-10338114_st;2,70597288428658;4,13042066745007;2,94849635829043;2,42464669559878;3,35626470191646;3,00289447590464
MG-1-neg-10338115_st;4,02823833742401;2,80458223417109;3,74793971624297;3,61147278948538;4,36941760594471;3,56753844597731
MG-1-neg-10338118_st;3,89063510851577;3,68687772545989;3,56743415097937;3,36316824560529;3,17153160715704;4,98073951628115
MG-1-neg-10338119_st;5,03513588298747;5,18027261490515;5,35214958432272;6,04239739823279;6,02016968532365;6,48085178734373
MG-1-neg-10338121_st;2,26938467256321;2,24975311872594;2,61779552100604;4,04366744792733;2,89344976059545;3,56098752946158
MG-1-neg-10338122_st;3,26337754154963;3,2226007082999;3,00182523753423;2,90439001263636;3,57328409677846;3,4767452291693
MG-1-neg-10338125_st;1,78180870264959;1,8532416238163;1,69932899915215;2,08705249981519;1,99524124306937;2,61590058575977
MG-1-neg-10338126_st;2,2713401260658;2,69213387167326;2,50054218715578;3,36166515828483;1,82797627162553;1,82797627162553
MG-1-neg-10338127_st;4,39432990829302;4,2777574338727;5,04079475602093;6,43666614524784;4,6965586570897;5,94675848266139
MG-1-neg-10338129_st;5,55246468550759;4,99010658370297;5,76239070367953;6,0669561434446;6,3953069537295;6,383428136295
MG-1-neg-10338130_st;1,77480812387285;1,91636881233682;1,75284052789215;1,65861103214845;1,80181236885783;1,60271023838339
MG-1-neg-10338131_st;3,19821207024581;3,17029582297104;3,27106624020147;2,30911494091509;2,24066541872711;3,74190725776846
MG-1-neg-10338132_st;1,68585609445439;1,79471123888827;1,71708354682859;2,30303093059725;2,6559736792549;1,91560153624955
MG-1-neg-10338133_st;3,72129838195456;3,84916336771167;3,90218276072602;5,56382072154242;4,45308534935502;4,46873590413855
MG-1-neg-10338134_st;8,77868668308596;8,63633823565371;9,47773128835019;8,85305591192212;8,92541824577073;8,7493504993545
MG-1-neg-10338135_st;4,82016886204742;5,13828839985858;5,63175712561804;5,5131447486008;5,46099852580372;6,40892298952109
MG-1-neg-10338136_st;5,96958993339813;5,98376923850368;6,94536985049585;6,83769368282277;6,8632108926026;7,19562913720413
MG-1-neg-10338137_st;5,44822263805592;5,34368639681336;5,32067539190417;4,53233138023028;5,66240501741729;5,2840964873877
